component	chapter	code	kind	preferred	description	inclusions	exclusions	depth
D	L	LD65.00	otherDiagnosis	Cervical herniation of nucleus pulposus				1
D	L	LD66	otherDiagnosis	Back syndrome without radiating pain	Back pain without radiation plus limitation of movement confirmed at medical examination.	back strain;collapsed vertebra;facet joint degeneration;osteoarthrosis or osteoarthritis of spine	back pain with radiation/sciatica LD67;coccydynia LS03;syndrome related to the neck LD65	0
D	L	LD66.00	otherDiagnosis	Spondylosis	A degenerative spinal disease that can involve any part of the vertebra, the intervertebral disk, and the surrounding soft tissue			1
D	L	LD66.01	otherDiagnosis	Spondylolysis/spondylolisthesis	1. Spondylolysis is a condition characterised by deficient development or degeneration of a portion of the vertebra, usually in the pars interarticularis (the bone bridge between the superior and inferior facet joints of the lumbar vertebra). 2. Spondylolisthesis is a forward displacement of a vertebral body (the anterior or front-facing portion of a vertebrae), with a higher position over the vertebral body below.			1
D	L	LD67	otherDiagnosis	Back syndrome with radiating pain	Pain in the lumbar/thoracic region of the spine, accompanied by pain radiating to, or a neurological deficit of an appropriate area; or sciatica, pain radiating down the back of the leg, aggravated by coughing, movement, or posture; or demonstration of a prolapsed lumbar or thoracic disc by appropriate imaging technique, or during surgery.	disc prolapse/degeneration	cervical disc lesion LD65;recent back strain LD66;spondylolisthesis LD66	0
D	L	LD67.00	otherDiagnosis	Lumbar or thoracic disc prolapse with radiculopathy				1
D	L	LD68	otherDiagnosis	Shoulder syndrome	Shoulder pain with limitation of movement/local tenderness/crepitus; or periarticular calcification on imaging.	adhesive capsulitis (frozen shoulder);bursitis of shoulder;osteoarthrosis of shoulder;rotator cuff syndrome;synovitis of shoulder;tendinitis around shoulder		0
D	L	LD69	otherDiagnosis	Patella disorder		recurrent instability of patella	dislocation/subluxation due to an injury LD48	0
D	L	LD69.00	otherDiagnosis	Retropatellar chondromalacia				1
D	L	LD70	otherDiagnosis	Acquired deformity of spine		kyphoscoliosis;kyphosis;lordosis	ankylosing spondylitis LD74;congenital deformity LD55;spondylolisthesis LD66	0
D	L	LD70.00	otherDiagnosis	Scoliosis deformity of spine	An appreciable lateral deviation in the normally straight vertical line of the spine.			1
D	L	LD71	otherDiagnosis	Acquired deformity of limb		bunion;genu valgum-varum	general congenital deformity/anomaly AD55;musculoskeletal genital deformity/anomaly LD55	0
D	L	LD71.00	otherDiagnosis	Acquired unequal limb length				1
D	L	LD71.01	otherDiagnosis	Hallux valgus	Lateral displacement of the great toe (hallux), producing deformity of the first metatarsophalangeal joint with callous, bursa, or bunion formation over the bony prominence.			1
D	L	LD71.02	otherDiagnosis	Hammer toe	A hammer toe or contracted toe is a deformity of the muscles and ligaments of the proximal interphalangeal joint of the second, third, fourth, or fifth toe causing it to be bent, resembling a hammer.			1
D	L	LD71.03	otherDiagnosis	Mallet finger	A mallet finger, also known as hammer finger or PLF finger or Hannan finger, is an extensor tendon injury at the farthest away finger joint.[2] This results in the inability to extend the finger tip without pushing it			1
D	L	LD71.04	otherDiagnosis	Talipes (pes) planus	Anomaly in which one or more of the arches of the feet are flat.			1
D	L	LD72	otherDiagnosis	Other specified and unknown bursitis, tendinitis, synovitis		bone spurs;calcified tendon;fasciitis;synovial cysts;unknown bursitis, tendinitis, synovitis	bursitis/tendinitis/synovitis of shoulder LD68;sprain or strain of knee LD45;tennis elbow/lateral epicondylitis LD73	0
D	L	LD72.00	otherDiagnosis	Acquired trigger finger	This is a common disorder characterised by catching, snapping or locking of the involved finger flexor tendon, associated with dysfunction and pain.			1
D	L	LD72.01	otherDiagnosis	Bursitis	This is a disorder of inflammation of one or more bursae (small sacs) of synovial fluid in the body which usually results in pain.			1
D	L	LD72.02	otherDiagnosis	Calcaneus spur	This is a disorder characterised by a bone outgrowth located on the calcaneus (heel bone).			1
D	L	LD72.03	otherDiagnosis	Dupuytren's contracture	This is a fixed flexion contracture of the hand where the fingers bend towards the palm and cannot be fully extended (straightened).			1
D	L	LD72.04	otherDiagnosis	Medial epicondylitis of elbow joint	This is a common upper extremity disorder which is characterised by degenerative changes in the musculotendonous region of the medial epicondyle, resulting from repetitive stress of flexion and extension movements of the wrist joint.			1
D	L	LD72.05	otherDiagnosis	Tendinitis/tenosynovitis	1. Tendinitis is a clinical syndrome describing overuse tendon injuries characterized by a combination of pain, diffuse or localized swelling, and impaired performance. 2. Tenosynovitis is an inflammation of the synovial lining of a tendon sheath. Causes include trauma, tendon stress, bacterial disease (gonorrhea, tuberculosis), rheumatic disease, and gout. Common sites are the hand, wrist, shoulder capsule, hip capsule, hamstring muscles, and Achilles tendon. The tendon sheaths become inflamed and painful, and accumulate fluid. Joint mobility is usually reduced.	transient synovitis of hip		1
D	L	LD72.06	otherDiagnosis	Achilles tendinitis	A clinical syndrome describing overuse achilles tendon injuries characterized by a combination of pain, diffuse or localized swelling, and impaired performance.			1
D	L	LD72.07	otherDiagnosis	Trochanteric bursitis	A common and painful condition which affects the outer side of the hip and thigh			1
D	L	LD72.08	otherDiagnosis	Radial styloid tenosynovitis (de Quervain)	Inflammation of the flexor and/or extensor tendon synovial sheaths in the hand and wrist that control movement of the thumb.			1
D	L	LD72.09	otherDiagnosis	Ganglion	This is a nodular tumour-like lesions or mucoid flesh, arising from tendon sheaths, ligaments, or joint capsule, especially of the hands, wrists, or feet. They are not true cysts as they lack epithelial wall. They are distinguished from synovial cysts by the lack of communication with a joint cavity or the synovial membrane.			1
D	L	LD72.10	otherDiagnosis	Plantar fascial fibromatosis	A hyperproliferative fibrous tissue disorder resulting in the formation of nodules along the plantar fascia.			1
D	L	LD73	otherDiagnosis	Tennis elbow	A condition characterised by pain in or near the lateral humeral epicondyle or in the forearm extensor muscle mass as a result of unusual strain.	lateral epicondylitis	other tendinitis LD72	0
D	L	LD74	otherDiagnosis	Rheumatoid arthritis and related conditions			gout LD75;other crystalarthropathies LD99;polymaylagia rheumatica LD75;psoriatic arthropathy LD99	0
D	L	LD74.00	otherDiagnosis	Ankylosing spondylitis (M. Bechterew/Bekhterev's disease)	Ankylosing spondylitis - a chronic inflammatory condition affecting the axial joints, such as the sacroiliac joint and other intervertebral or costovertebral joints. It occurs predominantly in young males and is characterised by pain and stiffness of joints (ankylosis) with inflammation at tendon insertions.			1
D	L	LD74.01	otherDiagnosis	Rheumatoid arthritis	1. Rheumatoid arthritis (RA) is persistent and/or erosive disease that is defined as the confirmed presence of synovitis in at least 1 joint, absence of an alternative diagnosis that better explains the synovitis, and achievement of a total score of 6 or greater (of a possible 10) from the individual scores in 4 domains: number and site of involved joints, serologic abnormality, elevated acute-phase response, and symptom duration. 2. Juvenile idiopathic arthritis (JIA) is the term used to describe a group of inflammatory articular disorders of unknown cause that begin before the age of 16 and last over 6 weeks. Six disorders have been defined: systemic-onset juvenile idiopathic arthritis (formerly referred to as Still's disease), oligoarticular arthritis, rheumatoid factor-positive polyarthritis, rheumatoid factor-negative polyarthritis, enthesitis-related arthritis (spondylarthropathies), and the juvenile form of psoriatic arthritis. 3. Adult onset Still's disease is a rare rheumatic condition characterised by a combination of symptoms, such as fever higher than 39 degrees C, cutaneous rash during fever peaks, joint or muscle pain, lymph node hypertrophy, increase of white blood cells (especially polymorphonuclear neutrophils) and abnormalities of liver metabolism.	juvenile arthritis;adult-onset Still's disease		1
D	L	LD75	otherDiagnosis	Gout	Gout is an acute or chronic arthropathy resulting from deposition of monosodium urate monohydrate crystals in joint tissues. It is strongly associated with hyperuricaemia, which may be secondary to certain drugs, poisons or lymphoproliferative disorders. Gout is definitively diagnosed by demonstration of urate crystals in aspirated synovial fluid in the absence of an alternative aetiology for arthritis. It may be associated with focal urate deposition in skin and subcutaneous tissue (tophaceous gout) and with urate nephropathy.		hyperuricemia TD99;pseudo-gout/other crystal arthropathy LD99	0
D	L	LD76	otherDiagnosis	Polymyalgia rheumatica	Polymyalgia rheumatica (PMR) is a syndrome characterised by aching of the proximal portions of the extremities and torso. Provisional classification criteria for PMR by the European League Against Rheumatism/American College of Rheumatology Collaborative Initiative should be applied to patients aged 50 years or older with bilateral shoulder aching, and abnormal CRP and/or ESR. The scoring algorithm is based on morning stiffness more than 45 minutes (2 points), hip pain/limited range of motion (1 point), absence of rheumatoid factor and/or anti-citrullinated protein antibody (1 point), with optional ultrasound criteria. Most commonly, PMR occurs in isolation, but may be seen in 40-50% of patients with giant cell arteritis.			0
D	L	LD77	otherDiagnosis	Osteochondrosis	Any of a group of bone disorders involving one or more ossification centers (epiphyses). It is characterised by degeneration or necrosis followed by revascularization and reossification. Osteochondrosis often occurs in children causing varying degrees of discomfort or pain. There are many eponymic types for specific affected areas, such as tarsal navicular (Kohler disease) and tibial tuberosity (Osgood-Schlatter disease).	apophysitis of calcaneus (Sevr's disease);Scheuermann's disease;spinal endplate defects		0
D	L	LD77.00	otherDiagnosis	Legg-Calve-Perthes disease	A particular type of femur head necrosis occurring in children, mainly male, with a course of four years or so.			1
D	L	LD77.01	otherDiagnosis	Osgood-Schlatter disease	Any of a group of bone disorders involving one or more ossification centers (epiphyses). It is characterized by degeneration or necrosis followed by revascularization and reossification. Osteochondrosis often occurs in children causing varying degrees of discomfort or pain. There are many eponymic types for specific affected areas, such as tarsal navicular (Kohler disease) and tibial tuberosity (Osgood-Schlatter disease).			1
D	L	LD77.02	otherDiagnosis	Osteochondritis dissecans	A type of osteochondritis in which articular cartilage and associated bone becomes partially or totally detached to form joint loose bodies. Affects mainly the knee, ankle, and elbow joints.			1
D	L	LD77.03	otherDiagnosis	Slipped upper femoral epiphysis	A developmental deformity in which the metaphysis of the femur moves proximally and anteriorly away from femur head (epiphysis) at the upper growth plate. It is most common in male adolescents and is associated with a greater risk of early osteoarthritis of the hip.			1
D	L	LD78	otherDiagnosis	Osteoarthrosis of hip	OA is the most common joint disease in persons 65 years of age and above. Its aetiology is not fully understood, although there are several related factors, such as female gender, genetics, metabolism, and excessive mechanical stress. The diagnosis of OA is primarily based on clinical history and physical examination. The cardinal radiographic features of OA are focal/non-uniform narrowing of the joint space in the areas subjected to the most pressure, subchondral cysts, subchondral sclerosis, and osteophytes. Osteoarthrosis means degeneration of the joint and osteoarthritis means inflammation of the joint.	osteoarthritis of hip secondary to dysplasia/trauma		0
D	L	LD79	otherDiagnosis	Osteoarthrosis of knee	A progressive, degenerative joint disease, the most common form of arthritis, especially in older persons. The disease is thought to result not from the aging process but from biochemical changes and biomechanical stresses affecting articular cartilage. In the foreign literature it is often called osteoarthrosis deformans.	osteoarthritis of knee secondary to dysplasia/trauma		0
D	L	LD80	otherDiagnosis	Other specified and unknown osteoarthrosis	OA is the most common joint disease in persons 65 years of age and above. Its aetiology is not fully understood, although there are several related factors, such as female gender, genetics, metabolism, and excessive mechanical stress. The diagnosis of OA is primarily based on clinical history and physical examination. The cardinal radiographic features of OA are focal/non-uniform narrowing of the joint space in the areas subjected to the most pressure, subchondral cysts, subchondral sclerosis, and osteophytes. Osteoarthrosis means degeneration of the joint and osteoarthritis means inflammation of the joint.	arthritis NOS;osteoarthritis;traumatic arthropathy;unknown osteoarthrosis	osteoarthrosis of hip LD78;osteoarthrosis of knee LD79;osteoarthrosis of neck LD65;osteoarthrosis of shoulder LD68;osteoarthrosis of spine LD66	0
D	L	LD81	otherDiagnosis	Osteoporosis	Reduction of bone mass without alteration in the composition of bone, leading to fractures.			0
D	L	LD81.00	otherDiagnosis	Osteopenia	"Osteopenia, known as ""low bone mass"" or ""low bone density"", is a condition in which bone mineral density is low. Because their bones are weaker, people with osteopenia may have a higher risk of fractures, and some people may go on to develop osteoporosis."			1
D	L	LD99	otherDiagnosis	Other specified diagnoses and diseases of musculoskeletal system		chronic internal derangement of knee;contractures;crystal arthropathy;dermatomyositis;osteomalacia;Paget's disease of bone;pathological fracture NOS;pseudo-gout;Reiter's disease; scleroderma;Sjögren's syndrome;spontaneous rupture tendon;systemic lupus erythematosus	gout LD75;hyperuricaemia TD99;post-polio paralysis ND01;post-stroke paralysis NS10	0
D	L	LD99.00	otherDiagnosis	Hypermobility syndrome	An autosomal dominant disorder formerly classified as a type of Ehlers-Danlos syndrome and characterized by joint laxity, recurrent joint dislocation, congenital hip dislocation, and patella dislocation			1
D	L	LD99.01	otherDiagnosis	Instability knee				1
D	L	LD99.02	otherDiagnosis	Loose body in joint				1
D	L	LD99.03	otherDiagnosis	Nonunion of fracture				1
D	L	LD99.04	otherDiagnosis	Old meniscus injury				1
D	L	LD99.05	otherDiagnosis	Psoriatic arthritis	Psoriatic arthritis, a member of the spondyloarthritis family, is defined as an inflammatory arthropathy associated with psoriasis that is usually rheumatic factor negative. It is characterised by various clinical manifestations, including symmetric polyarthritis, asymmetric oligoarthritis or polyarthritis, spinal inflammation similar to ankylosing spondylitis, peripheral enthesitis, anterior chest wall involvement, distal interphalangeal arthritis of the hands and feet, dactylitis (sausage digit or toe), arthritis mutilans and onycho-pachydermo-periostitis. The CASPAR has high sensitivity and specificity.			1
D	L	LD99.06	otherDiagnosis	Tietze's disease	Idiopathic painful nonsuppurative swellings of one or more costal cartilages, especially of the second rib. The anterior chest pain may mimic that of coronary artery disease.			1
D	L	LD99.07	otherDiagnosis	Non-traumatic derangement of knee	Internal derangement of the knee (IDK) is a chronic disorder of the knee due to a torn, ruptured or deranged meniscus of the knee, or a partial or complete cruciate rupture, with or without injury to the capsular ligament, resulting in ongoing or intermittent signs and symptoms such as pain, instability, or abnormal mobility of that knee. If indicated that derangement is due to trauma, code to Injury, poisoning and certain other consequences of external causes, regardless of time past since injury.			1
D	L	LD99.08	otherDiagnosis	Postural plagiocephalie	A deformity of the skull that is not due to bone fusion (synostosis), such as craniosynostoses, and is characterized by an asymmetric skull and face. It is observed with an increased frequency in infants after the adoption of supine sleeping recommendations			1
S	L	LS01	symptom	Neck symptom or complaint		cervicalgia;neck symptom;pain attributed to cervical spine;neck stiffness		0
S	L	LS02	symptom	Back symptom or complaint		backache;dorsalgia;thoracic back pain	low back pain LS03	0
S	L	LS03	symptom	Low back symptom or complaint		coccydynia;lumbago;lumbalgia;lumbar and sacroiliac back pain	sciatica LD67;thoracic back pain LS02	0
S	L	LS04	symptom	Musculoskeletal chest symptom or complaint		chest pain attributed to musculoskeletal system;intercostal pain;swelling on chest	chest pain AS12;intercostal neuralgia ND77;pain attributed to the heart KS01;painful respiration/pleuritic pain/pleurodynia RS01	0
S	L	LS05	symptom	Flank or axilla symptom or complaint		flank pain;loin pain;pain in axilla	kidney symptom US07	0
S	L	LS06	symptom	Jaw symptom or complaint		temporomandibular joint symptom	teeth/gum symptom/complaint DS19;temporomandibular joint disorder DD65	0
S	L	LS07	symptom	Shoulder symptom or complaint				0
S	L	LS08	symptom	Arm symptom or complaint			muscle pain/myalgia LS17	0
S	L	LS09	symptom	Elbow symptom or complaint				0
S	L	LS10	symptom	Wrist symptom or complaint				0
S	L	LS11	symptom	Hand or finger (or both) symptom or complaint		cramp in hands;pain in joint of hand or finger;pain in fingers;pain in hand		0
S	L	LS12	symptom	Hip symptom or complaint				0
S	L	LS13	symptom	Leg or thigh (or both) symptom or complaint		buttock pain;leg cramps;leg weakness	growing pain LS99;muscle pain/myalgia LS17;restless legs NS03	0
S	L	LS14	symptom	Knee symptom or complaint		effusion or swollen knee		0
S	L	LS15	symptom	Ankle symptom or complaint			ankle oedema KS04	0
S	L	LS16	symptom	Foot or toe (or both) symptom or complaint		foot/feet cramp;heel pain		0
S	L	LS16.00	symptom	Metatarsalgia	This is a condition characterised by pain and inflammation in the ball of your foot or at the metatarsal heads.			1
S	L	LS17	symptom	Muscle pain		abdominal wall pain;myalgia;rheumatism	pain in neck LS01;pain in back LS02;pain in lower back LS03;leg cramps LS13	0
S	L	LS18	symptom	Chronic widespread pain	Chronic widespread pain (CWP) is diffuse pain in at least 4 of 5 body regions and is associated with significant emotional distress (anxiety, anger/frustration or depressed mood) and functional disability (interference in daily life activities and reduced participation in social roles). CWP is multifactorial: biological, psychological and social factors contribute to the pain syndrome. The diagnosis is appropriate when the pain is not directly attributable to a nociceptive process in those regions and there are features consistent with nociplastic pain and identified psychological and social contributors. Other chronic pain diagnoses to be considered are chronic cancer pain, chronic postsurgical or posttraumatic pain, chronic neuropathic pain, chronic visceral pain and chronic musculoskeletal pain.	fibromyositis		0
S	L	LS18.00	symptom	Primary fibromyalgia syndrome	A common nonarticular rheumatic syndrome characterized by myalgia and multiple points of focal muscle tenderness to palpation (trigger points). Muscle pain is typically aggravated by inactivity or exposure to cold. This condition is often associated with general symptoms, such as sleep disturbances, fatigue, stiffness, headaches, and occasionally depression. There is significant overlap between fibromyalgia and the chronic fatigue syndrome. Fibromyalgia may arise as a primary or secondary disease process. It is most frequent in females aged 20 to 50 years.	fibromyalgia		1
S	L	LS19	symptom	Muscle symptom or complaint		atrophy of muscle;muscle stiffness;muscle strain;wasting of muscle;weakness of muscle	'growing pains' in child LS99;leg cramps LS13;muscle pain LS17;pain in neck LS01;pain in back LS02;pain in lower back LS03;restless legs NS03	0
S	L	LS20	symptom	Other specified joint symptoms or complaints		arthralgia;effusion of other specified joint;multiple joint symptoms or complaints;pain in joint;stiffness in joint;swelling of joint;weakness in joint	ankle symptom/complaint LS15;elbow symptom/complaint LS09;foot/toe symptom/complaint LS16;hand/finger symptom/complaint LS11;hip symptom/complaint LS12;jaw symptom/complaint LS06;knee symptom/complaint LS14;shoulder symptom/complaint LS07;wrist symptom/complaint LS10	0
S	L	LS90	complaint	Concern or fear of disease of musculoskeletal system	Concern about/fear of disease of musculoskeletal system in a patient without the disease/until the diagnosis is proven.			0
S	L	LS99	symptom	Other specified symptoms, complaints and abnormal findings of musculoskeletal system		abnormal posture;'growing pains' in a child	clubbing of fingernails SS09	0
D	N	ND01	infection	Poliomyelitis	A disease of the nervous system, caused by human poliovirus. This disease commonly presents with a fever, sore throat, headache, vomiting, or stiffness of the neck and back. This disease may present with an acute onset of flaccid paralysis. Transmission is commonly by the faecal-oral route or direct contact. Confirmation is by identification of poliovirus in a faecal sample or by a lumbar puncture.	late effect of poliomyelitis;other neurological enterovirus infection;post-polio syndrome		0
D	N	ND01.00	infection	Acute poliomyelitis	A disease of the nervous system, caused by human poliovirus. This disease commonly presents with a fever, sore throat, headache, vomiting, or stiffness of the neck and back. This disease may present with an acute onset of flaccid paralysis. Transmission is commonly by the faecal-oral route or direct contact. Confirmation is by identification of poliovirus in a faecal sample or by a lumbar puncture.			1
D	N	ND02	infection	Meningitis, encephalitis or both	An acute febrile illness with abnormal findings in the cerebrospinal fluid.			0
D	N	ND02.00	infection	Bacterial meningitis	Any disease of the meninges, caused by an infection with a bacterial source.			1
D	N	ND02.01	infection	Encephalitis	A disease of the brain, caused by an infection.			1
D	N	ND02.02	infection	Myelitis	Inflammation of the spinal cord. Relatively common etiologies include infections. Clinical features generally include weakness, sensory loss, localized pain, incontinence, and other signs of autonomic dysfunction.			1
D	N	ND02.03	infection	Viral meningitis	Any disease of the meninges, caused by an infection with a viral source.			1
D	N	ND03	infection	Tetanus	A disease of the skeletal muscle fibres, caused by an infection with the gram-positive bacteria Clostridium tetani. This disease is characterised by muscle spasms. Transmission is by direct contact of an open wound.			0
D	N	ND04	infection	Other specified and unknown neurological infection		cerebral abscess;unknown neurological infection	acute polyneuritis ND01;meningitis/encephalitis ND02;poliomyelitis ND01	0
D	N	ND04.00	infection	Slow-virus infection	Diseases of viral origin, characterized by incubation periods of months to years, insidious onset of clinical manifestations, and protracted clinical course. Though the disease process is protracted, viral multiplication may not be unusually slow. Conventional viruses produce slow virus diseases such as subacute sclerosing panencephalitis, progressive multifocal leukoencephalopathy, and AIDS. Diseases produced by unconventional agents were originally considered part of this group. They are now called prion diseases.	atypical virus infections of central nervous system		1
D	N	ND25	neoplasm	Neoplasm nervous system	A benign, malignant or a neoplasm with uncertain behaviour that affects the brain, meninges, spinal cord, peripheral nerves or autonomic nervous system. Representative examples of primary neoplasms include astrocytoma, oligodendroglioma, ependymoma, and meningioma.		neurofibromatosis A90	0
D	N	ND25.00	neoplasm	Benign neoplasm nervous system				1
D	N	ND25.01	neoplasm	Malignant neoplasm nervous system				1
D	N	ND25.02	neoplasm	Neoplasm of uncertain behaviour nervous system				1
D	N	ND35	trauma	Concussion	Concussion is a nonspecific term used to describe transient alteration or loss of consciousness following closed head injury. The duration of unconsciousness generally lasts a few seconds, but may persist for several hours.	late effect of concussion	posttraumatic headache NS01	0
D	N	ND36	trauma	Other specified and unknown head injury	Trauma to the head, complicated by cerebral damage.	cerebral injury with skull fracture;cerebral injury without skull fracture;extradural haematoma;subdural haematoma;unknown head injury	concussion ND35	0
D	N	ND36.00	trauma	Cerebral contusion				1
D	N	ND36.01	trauma	Epidural intracranial haematoma	Accumulation of blood in the epidural space between the skull and the dura mater, often as a result of bleeding from the meningeal arteries associated with a temporal or parietal bone fracture. Epidural hematoma tends to expand rapidly, compressing the dura and underlying brain. Clinical features may include headache; vomiting; hemiparesis; and impaired mental function.			1
D	N	ND36.02	trauma	Traumatic intracranial haemorrhage				1
D	N	ND36.03	trauma	Traumatic subdural intracranial haemorrhage	Accumulation of blood in the subdural space with acute onset of neurological symptoms. Symptoms may include loss of consciousness, severe headache, and deteriorating mental status.			1
D	N	ND37	trauma	Other specified and unknown injury neurological system		nerve injury;spinal cord injury;unknown injury neurological system		0
D	N	ND55	congenital	Congenital anomaly of neurological system				0
D	N	ND55.00	congenital	Congenital hydrocephalus	A disease caused by failure of the brain to correctly develop during the antenatal period. This condition is characterised by a rapid increase in head circumference or an unusually large head size due to excessive accumulation of cerebrospinal fluid in the brain. This condition may also present with vomiting, sleepiness, irritability, downward deviation of the eyes, or seizures. Confirmation is through observation of cerebrospinal fluid within cerebral ventricles by imaging.			1
D	N	ND55.01	congenital	Spina bifida	Spina bifida is the most common of a group of birth defects called neural tube defects. Spina bifida affects the backbone and, sometimes, the spinal cord. Aperta spina bifida defines the dorsal malclosure of vertebrae, associated with various degrees of spine defects. A pocket of skin may form, containing meninges (meningocele) or spinal cord and meninges (myelomeningocele). Different subtypes are distinguished according to the location of the defect. Consequences are paraplegia (paralysed lower limbs), hydrocephaly, Chiari malformation (result of the attached spine during life in utero), urinary and anorectal incontinence. The intensity of signs varies greatly with the level and extent of the lesion.	myelocele;myelomeningocele		1
D	N	ND65	otherDiagnosis	Multiple sclerosis	Multiple Sclerosis is a chronic, inflammatory demyelinating disease of the central nervous system. Three categories of multiple sclerosis have been outlined: Relapsing/remitting, secondary progressive and primary progressive multiple sclerosis. Multiple sclerosis is characterised by exacerbations/remissions of multiple neurological manifestation with deficits/derangements disseminated in both time and site (any combination of neurological signs and symptoms is possible).	disseminated sclerosis		0
D	N	ND66	otherDiagnosis	Parkinsonism	Parkinsonism is a clinical syndrome characterised by four cardinal features: rest tremor, muscular rigidity, akinesia or bradykinesia, and postural disturbances which include shuffling gait and flexed posture and loss of postural reflexes. Bradykinesia and one other clinical feature is required to make a diagnosis of Parkinsonism. Parkinsonism may result from a variety of conditions including progressive neurodegenerative disorders such as Parkinson Disease or Atypical Parkinsonism where the progressive degeneration of nigral and other neurons leads to dopamine deficiency. Parkinsonism may also be a result of structural lesions such as strokes or tumors or blockage of dopamine receptors in the striatum by drugs such as neuroleptics.	drug induced Parkinsonism		0
D	N	ND66.00	otherDiagnosis	Parkinson's disease	Parkinson Disease is a gradual onset progressive degenerative disease whose cardinal manifestations include bradykinesia plus one of the following-tremor, rigidity or postural instability. Nonmotor manifestations include autonomic dysfunction and neuropsychiatric features.			1
D	N	ND67	otherDiagnosis	Epilepsy	Epilepsy is characterised by recurrent episodes of sudden altered consciousness, with or without tonic-clonic movements or seizure, plus either eyewitness account of the attack, or characteristic abnormality of electroencephalogram (EEG).	focal seizures;generalised seizures;grand mal seizures;petit mal seizures;status epilepticus		0
D	N	ND68	otherDiagnosis	Transient cerebral ischaemia	Transient cerebral ischaemia is characterised by symptoms of transient (less than 24 hours) hypofunction of the brain, with sudden onset, presumed of vascular origin, without sequelae and with exclusion of migraine/migraine equivalent/ epilepsy.	basilar insufficiency;drop attacks;transient ischaemic attack (TIA)	carotid bruit KS52;cerebrovascular accident ND69;migraine ND71;transient global amnesia NS99	0
D	N	ND69	otherDiagnosis	Stroke or cerebrovascular accident	Stroke is an acute vascular disturbance of bloodflow to the brain causing cell death, lasting more than 24 hours or causing death and within 4 weeks (28 days) of onset.	apoplexy;cerebrovascular accident;CVA	transient cerebral ischaemia ND68;traumatic intracranial haemorrhage ND36	0
D	N	ND69.00	otherDiagnosis	Cerebral infarction	Acute focal neurological dysfunction caused by focal infarction at single or multiple sites of the brain. Evidence of acute infarction may come either from a) symptom duration lasting more than 24 hours, or b) neuroimaging or other technique in the clinically relevant area of the brain.	cerebral embolism;cerebral occlusion;cerebral thrombosis		1
D	N	ND69.01	otherDiagnosis	Non traumatic intracranial haemorrhage	Acute neurological dysfunction caused by haemorrhage within the brain parenchyma or in the ventricular system.			1
D	N	ND69.02	otherDiagnosis	Subarachnoid intracranial haemorrhage	Acute neurological dysfunction caused by subarachnoid haemorrhage.			1
D	N	ND70	otherDiagnosis	Cerebrovascular disease	This is a group of brain dysfunctions related to disease of the blood vessels supplying the brain. The criteria for this rubric is a previous transient cerebral ischaemia or stroke or investigation evidence of cerebrovascular disease.	cerebral aneurysm;sequelae of stroke	stroke or cerebrovascular accident ND69;transient cerebral ischaemia ND68	0
D	N	ND71	otherDiagnosis	Migraine	Migraine is characterised by recurrent episodes of headache with three or more of  the following: unilateral headache; nausea/vomiting; aura; other neurological symptoms; family history of migraine.	vascular headache with aura;vascular headache without aura	cervicogenic headache LD65;cluster headache ND72;tension headache ND73	0
D	N	ND72	otherDiagnosis	Cluster headache	Cluster headache is characterised by attacks of severe, often excruciating unilateral pain peri-orbitally and/or temporally, occurring up to 8 times a day, sometimes associated with conjunctival injection, lacrimation, nasal congestion, rhinorrhoea, sweating, miosis, ptosis, or eyelid edema. Attacks occur in cluster periods lasting weeks or months, separated by remissions lasting months or years.			0
D	N	ND73	otherDiagnosis	Tension headache	Tension headache is characterised by a pressing, generalized headache associated with stress and muscle tension with or without increased tenderness of pericranial muscles.		cluster headache ND72;migraine ND71	0
D	N	ND74	otherDiagnosis	Trigeminal neuralgia	Trigeminal neuralgia is characterised by unilateral paroxysms of burning facial pain aggravated by touching trigger points, blowing nose or yawning, without sensory or motor paralysis.	tic douloureux	post-herpetic neuralgia SD03	0
D	N	ND75	otherDiagnosis	Facial paralysis	Facial paralysis is characterised by an acute onset of unilateral paralysis of muscles of facial expression without sensory loss. Facial nerve dysfunction at the stylomastoid foramen leads to ipsilateral upper and lower facial weakness, manifested by an asymmetric smile, poor eyebrow elevation, decreased forehead wrinkling, widened palpebral fissure, weak eye closure, deviation of eye upward and laterally with attempted eye closure (Bell`s phenomenon) and flattening of the nasolabial fold. Sagging of the lower eyelid causes tears to spill over the cheek, and saliva may also dribble from the corner of mouth. Although there may be subjective feelings of heaviness or numbness in the face, sensory loss is rarely demonstrable and taste is intact. If the lesion is in the middle ear portion proximal to the stylomastoid foramen, taste is lost over the anterior two-thirds of the tongue on same side. If the nerve to the stapedius is interrupted, there is hyperacusis (increased sensitivity to loud sounds).	Bell's palsy		0
D	N	ND76	otherDiagnosis	Carpal tunnel syndrome	Loss/impairment of superficial sensation affecting the thumb, index and middle finger, that may or may not split the ring finger. Dysesthesia and pain worsen usually during the night, and may radiate to the forearm.			0
D	N	ND77	otherDiagnosis	Peripheral neuritis, neuropathy or both	Sensory, reflex and motor changes confined to the territory of individual nerves, sometimes without apparent cause, sometimes secondary to a specific disease, e.g. diabetes.	acute infective polyneuropathy;neuritis;nerve lesion	post-herpetic neuropathy SD03	0
